rating,text,name
5,Must see museum. Order the tickets ahead of time is a must. The museum have 5 levels.  All levels are connected to the pyramid. You need to study the museum...,Musée du Louvre
5,Note:  I haven't been back to the Louvre since the blockbuster exhibition commemorating the 500th anniversary of the death of Leonardo.  It was my third...,Musée du Louvre
5,"Absolutely beautiful museum. You have to reserve time slots ahead of time if you have the Paris museum pass, and the enter from the side entrance in the...",Musée du Louvre
5,"an iconic destination! 

don't worry if people tell you it's a tourist trap, it's more beautiful in person! ignore all the people trying to sell you mini...",La Tour Eiffel
5,"""...that was the moment I fell in love with Paris, and the moment that I felt that Paris had fallen in love with me."" - Paris Je t'aime 

Do you believe in...",La Tour Eiffel
5,"I always wish the hotels were like they are in movies and TV shows, where if you're in Paris, right outside your window is the Eiffel Tower. In Egypt, the...",La Tour Eiffel
5,"What an amazing Bistro!! First off, even if you don't make reservations you can
be seated outdoors. JC (Jacques Cousteau) was an amazing waiter & great...",Le Comptoir de la Gastronomie
2,"I went back and forth trying to figure out what rating to give. The food was amazing and well worth 5 stars; however, the service was incredibly rude and...",Le Comptoir de la Gastronomie
1,"Warning! Tourist trap restaurant.  This restaurant is highly overrated, so do not go by the deceiving ratings.  I had probably one of the worst and...",Le Comptoir de la Gastronomie
5,"The last few times I have been here, I've done the takeaway, but this time, we are in. Definitely come earlier than you usually would to minimize wait time...",L'As du Fallafel
5,"Yes, the line is very long. Some could argue too long for a falafel gyro. But I certainly wouldn't.

This is a must have if you're visiting Paris.",L'As du Fallafel
4,This place is no joke!! The felafel is the best I've ever had. We didn't have anything else but it all looks delicious! Get there at opening otherwise you...,L'As du Fallafel
5,Love the vibes of this place. It's covered under the Paris museum pass but you don't need a reservation to enter. There's a security check as usual but goes...,Musée d’Orsay
5,"Excellent museum with a huge display of Monet pieces.  

This has been on my list since my last trip to Paris when I wasn't able to come.  This time, I came...",Musée d’Orsay
5,One of the must see museum in Paris. It will take at least three to five hour to complete. The collection is huge. It includes some famous painting. Be...,Musée d’Orsay
5,I was a little disappointed there were so many American ice cream stores in Paris in 2018 because when you experience something like Berthillon you realize...,Berthillon
4,"I think the main draw to Berthillon are not only its plethora of flavors, but the number of flavors you may have never seen before. They work well. The ice...",Berthillon
2,Disappointed this time around as hubby wanted to get his Berthillon fix towards the end of our trip. We both received gelato that had ice crystals built...,Berthillon
5,"When in Paris, you MUST try the hot chocolate (chocolat chaud)--it is truly an experience! Angelina is one of the most iconic tea rooms and pastry shops in...",Angelina
5,When in Paris one must visit one of the most famous cafes by stopping by Angelina! Reservations are strongly recommended but frequently get booked up months...,Angelina
5,Amazing hot chocolate (€5). It's so rich and chocolatey. Definitely worth waiting in line for.,Angelina
5,"Absolutely delicious & just the spot to buy one of everything, they're famous for their macarons but they have other baked goods that are out of this world....",Ladurée
5,I have always heard so much about Laduree but never really decided to give it a try until I was a little older. Price wise - it is more expensive than your...,Ladurée
5,"We ate at the same cafe but at a different location (near the Parisian Statue of Liberty) while we waited for our train to Versailles.
I had never had fresh...",Ladurée
5,"I still dream of the foie gras macaron that I had here years ago, paired with a lovely Vigonier/Sancerre blend. The whole experience was so fun and the...",L'Avant Comptoir
4,"5 stars for the food, but knocking off one star for the unpleasant staff.

This place is quite small, and everyone eats at the bar and shares a communal...",L'Avant Comptoir
