tsne1,tsne2,label,label_predicted
8.829302,25.329067,drink,4
23.168583,20.63176,drink,0
36.853767,37.10454,drink,4
35.655396,35.725883,drink,4
-30.35954,-33.996014,drink,0
10.861797,33.483208,drink,4
29.19636,53.288395,drink,4
14.662003,16.007027,drink,4
25.63873,54.96552,drink,4
27.993683,15.957899,drink,4
-34.51177,35.899174,drink,4
12.014397,14.143205,drink,4
-21.107504,43.76782,drink,4
9.296536,-37.968464,drink,2
34.487938,15.254525,drink,4
31.751085,23.708809,drink,4
-29.848293,-30.767824,drink,0
10.607571,38.763313,drink,4
21.8103,25.484463,drink,4
14.234874,42.866734,drink,0
11.9324665,24.57709,drink,4
23.186272,41.394844,drink,4
31.610655,25.500883,drink,4
2.8822267,37.13746,drink,4
13.462083,23.574327,drink,4
21.686962,37.4341,drink,4
2.543939,27.503904,drink,4
7.529047,20.43969,drink,4
24.401472,14.885492,drink,4
23.849285,22.495678,drink,4
-25.984125,-29.991642,drink,0
32.460114,5.8258266,drink,4
16.09568,34.27603,drink,4
36.467346,17.18049,drink,3
2.975284,43.618923,drink,4
16.9743,33.3752,drink,4
10.362154,38.829967,drink,4
9.067147,13.070414,drink,0
-41.970165,-7.4764447,drink,0
24.667274,38.844913,drink,4
26.569204,25.909391,drink,4
-47.221226,35.912758,drink,4
23.461012,45.188698,drink,4
24.650518,36.101776,drink,4
13.469374,24.73633,drink,4
15.187985,24.401293,drink,4
54.23677,59.86143,drink,4
33.185875,31.669336,drink,4
48.6672,59.92325,drink,4
17.892752,31.5258,drink,4
32.90186,41.819157,drink,4
14.467478,41.541103,drink,4
-22.547358,39.761387,drink,0
21.31008,52.051094,drink,4
26.819595,17.749144,drink,4
14.76812,26.279041,drink,4
33.897903,36.780228,drink,4
-0.44546074,16.539042,drink,0
31.962763,31.626698,drink,4
19.94253,51.373795,drink,4
14.8822365,-5.2704,drink,4
25.943495,38.958443,drink,4
-3.390544,22.59673,drink,4
-30.36973,-33.810722,drink,0
35.800003,22.782845,drink,4
25.42069,50.382973,drink,4
25.679909,50.202164,drink,4
24.425583,41.833748,drink,4
23.503992,20.750607,drink,4
25.48203,16.739136,drink,4
-5.44667,15.0342045,drink,0
21.820019,14.300645,drink,0
11.530635,41.594784,drink,4
20.599463,24.458563,drink,4
-21.723957,38.36749,drink,4
48.72349,60.123035,drink,4
19.713654,42.167866,drink,4
-0.78632504,20.595463,drink,4
19.009644,23.960493,drink,4
-14.342172,40.21585,drink,4
25.248417,50.411453,drink,4
30.652504,42.254303,drink,4
30.494913,46.796413,drink,4
33.35825,34.1046,drink,4
-21.500525,33.99664,drink,4
24.70859,26.586061,drink,4
6.955374,21.964441,drink,4
-2.0246873,21.147902,drink,4
3.936196,21.352821,drink,4
12.6269865,43.535263,drink,4
20.74943,44.438488,drink,4
54.23677,59.86143,drink,4
12.518617,22.886488,drink,4
31.068249,40.44001,drink,2
7.482174,13.526227,drink,0
32.327606,22.678698,drink,4
29.34342,27.53739,drink,4
36.593952,26.55887,drink,4
32.175625,28.3597,drink,4
40.27412,52.239563,drink,4
29.254812,19.499292,drink,4
24.059034,10.091963,drink,4
18.986423,36.254696,drink,4
16.801123,30.777342,drink,4
21.433733,32.91147,drink,4
49.047813,60.31758,drink,4
22.52222,-27.227758,drink,4
28.258722,17.119354,drink,0
-17.335608,36.025547,drink,0
5.9568734,19.629482,drink,4
8.206199,44.4345,drink,4
10.668536,42.836254,drink,4
30.8484,40.471107,drink,4
-28.35817,-30.513,drink,0
36.011444,32.60318,drink,4
32.27801,22.258005,drink,4
19.044937,40.158848,drink,4
17.309902,24.230598,drink,4
12.542046,36.25558,drink,4
40.329746,16.935835,drink,3
11.2360525,45.183643,drink,4
-3.826681,35.075485,drink,4
33.220833,43.323185,drink,4
18.06525,22.126245,drink,0
37.796696,36.428318,drink,4
7.804905,27.709852,drink,4
24.710997,49.58231,drink,4
7.2708073,39.34673,drink,4
41.396805,32.844,drink,4
-54.509773,2.3809743,drink,0
34.55268,30.864544,drink,4
33.078842,32.974506,drink,4
7.4014554,32.926846,drink,4
8.1102705,31.223583,drink,4
21.694763,-8.929426,drink,2
18.748142,15.68543,drink,4
32.87305,35.297676,drink,4
-1.1155088,-37.641758,drink,2
-4.23191,40.35324,drink,4
22.802866,32.606617,drink,4
30.01548,11.923326,drink,4
4.6055417,11.805314,drink,0
11.916968,45.96779,drink,4
-76.93324,1.1748531,drink,4
37.98191,38.056118,drink,4
21.886517,20.426329,drink,4
20.094852,50.77443,drink,4
22.139511,17.75501,drink,4
5.5741544,18.80489,drink,4
14.46584,14.525369,drink,4
28.430918,32.93161,drink,2
18.195204,18.994478,drink,4
8.969879,44.58961,drink,4
25.620878,41.130272,drink,4
34.035942,26.034338,drink,4
41.53691,40.061905,drink,2
17.052927,43.784027,drink,4
6.6288486,44.579624,drink,4
3.6924446,26.642036,drink,4
32.77561,37.092377,drink,4
2.9708192,42.6674,drink,4
37.712463,24.025585,drink,4
32.972214,32.827785,drink,4
29.83922,34.97918,drink,4
36.718437,37.16365,drink,4
18.947498,40.43148,drink,4
35.594276,38.252125,drink,4
26.239397,42.78769,drink,4
13.837159,48.701473,drink,4
37.53343,15.750711,drink,2
26.686487,29.359955,drink,4
9.22411,23.452723,drink,4
40.31664,52.045334,drink,4
24.979351,49.393997,drink,4
23.31462,23.063318,drink,4
20.682795,44.177586,drink,4
37.862793,16.450747,drink,4
49.037876,59.66022,drink,4
31.838121,16.984358,drink,4
31.919952,31.229597,drink,4
25.334719,40.938076,drink,4
20.273657,32.420647,drink,4
-9.834606,43.80682,drink,4
28.057404,12.3566475,drink,4
21.128197,21.942165,drink,4
0.6602509,30.467573,drink,0
-16.391144,39.784897,drink,4
-29.88272,45.852478,drink,4
34.020046,34.816235,drink,4
-48.572903,32.287975,drink,0
26.11492,24.818497,drink,2
1.7553933,21.960175,drink,4
32.730873,58.249893,drink,4
31.169796,36.946896,drink,4
-12.329777,29.948427,drink,4
36.863426,41.976257,drink,4
22.432724,21.744886,drink,4
18.086063,51.515816,drink,4
7.3354797,13.229363,drink,4
24.627838,18.670744,drink,4
41.47475,49.11187,drink,4
38.02894,33.924225,drink,4
20.573704,17.101492,drink,4
34.54324,37.934155,drink,4
2.569917,36.582638,drink,4
6.3855667,43.15856,drink,4
26.940983,34.701054,drink,4
19.926489,50.575268,drink,4
20.318111,25.709213,drink,4
-13.311872,41.575146,drink,4
27.21729,19.439404,drink,4
12.801888,34.623573,drink,4
12.749059,20.777918,drink,4
19.24847,50.91686,drink,4
31.077263,19.89761,drink,4
48.72349,60.123035,drink,4
10.199316,25.878374,drink,0
3.7817361,25.691559,drink,4
27.768284,15.861356,drink,4
18.396498,25.175642,drink,4
39.330738,28.53963,drink,4
36.56737,36.88055,drink,4
4.195688,44.73428,drink,4
-11.483485,-29.52574,drink,4
40.31664,52.045334,drink,4
24.489996,42.162357,drink,4
20.510887,16.925968,drink,4
35.61981,47.439575,drink,4
14.991006,19.991365,drink,4
23.199362,7.431122,drink,4
30.463207,38.81009,drink,4
-28.098425,-31.18724,drink,0
10.286074,26.232065,drink,4
19.039335,34.214268,drink,4
30.168987,36.645023,drink,4
31.326527,25.66191,drink,4
-26.84242,36.361134,drink,0
11.724473,25.658102,drink,4
8.287875,24.470352,drink,4
12.469855,23.918243,drink,4
10.133776,18.367249,drink,0
40.603634,28.806643,drink,4
-9.92639,20.51594,drink,4
16.693344,22.633171,drink,4
-11.892609,6.804352,drink,4
-0.44903138,34.01229,drink,4
22.754684,42.43747,drink,4
30.460676,28.960377,drink,4
8.466562,26.39637,drink,4
23.945423,16.76556,drink,4
36.806194,37.14034,drink,4
7.043251,27.051994,drink,4
11.577491,28.860981,drink,4
37.060513,44.082256,drink,4
14.108102,20.728224,drink,4
22.47908,47.07819,drink,4
0.88443965,-14.176053,drink,0
23.295744,7.521944,drink,4
20.997925,19.488977,drink,2
41.47475,49.11187,drink,4
24.880835,50.31324,drink,4
0.21155164,39.217834,drink,4
26.619694,24.993467,drink,2
-37.08992,5.603875,drink,0
10.284021,30.841866,drink,4
6.138175,28.487936,drink,4
54.24212,59.006638,drink,4
4.054597,27.851673,drink,4
36.59094,37.096466,drink,4
27.764156,25.223188,drink,2
39.503593,31.788725,drink,4
19.751736,51.425037,drink,4
32.60463,13.966678,drink,4
30.32873,30.792124,drink,4
-21.444056,38.270683,drink,4
35.775204,31.686543,drink,4
-47.341656,18.609373,drink,4
22.04061,30.401474,drink,0
7.9958463,19.331007,drink,0
24.253288,13.312543,drink,4
6.0880976,34.45135,drink,4
-25.246964,36.665684,drink,0
41.630386,40.86267,drink,2
10.639847,-36.696205,drink,2
8.874877,35.41673,drink,4
8.045491,42.934807,drink,4
10.958353,21.37104,drink,4
4.6393375,24.413,drink,4
19.838812,20.271795,drink,0
10.521719,60.505226,drink,4
54.23677,59.86143,drink,4
10.150877,32.17807,drink,4
25.379116,27.889545,drink,4
21.349535,22.783875,drink,0
0.9223916,-0.6270167,drink,4
19.261154,28.853321,drink,4
-21.21423,39.640953,drink,4
29.821129,24.02849,drink,4
4.661525,19.661663,drink,4
4.940649,31.712994,drink,4
3.3079646,-13.361955,drink,4
32.005993,44.967396,drink,4
3.23267,45.07402,drink,4
28.087006,43.71156,drink,4
3.9754822,30.256178,drink,4
45.18978,25.848223,drink,4
38.048466,34.27129,drink,4
25.178366,29.761044,drink,4
40.041443,52.129604,drink,4
15.179872,44.98486,drink,4
18.651201,27.035597,drink,4
37.049835,15.727073,drink,4
49.394474,59.986477,drink,4
16.897747,44.18358,drink,4
29.387148,30.174442,drink,4
29.446741,29.628248,drink,4
-0.045988824,29.560675,drink,2
23.741243,33.3027,drink,4
11.22223,27.178314,drink,4
-32.89152,34.138107,drink,3
34.73844,17.76964,drink,4
3.2103674,31.578957,drink,4
17.207067,41.809147,drink,4
18.99039,15.210125,drink,4
25.480095,23.042828,drink,2
26.724783,36.144997,drink,4
0.6221415,32.811665,drink,0
15.795984,38.28421,drink,4
-9.834608,43.806873,drink,4
-16.636549,42.422424,drink,4
33.022076,12.027723,drink,4
19.327642,21.8636,drink,4
17.282982,52.523197,drink,4
23.331451,45.575,drink,4
53.50839,59.424904,drink,4
-28.44383,-31.606323,drink,0
25.54687,49.4159,drink,4
15.259651,15.2270775,drink,4
19.622276,51.427254,drink,4
12.566228,21.856922,drink,4
37.029198,20.805136,drink,4
28.186697,38.77599,drink,4
26.552053,34.49139,drink,4
15.20462,35.19615,drink,4
19.101063,43.251232,drink,4
19.031675,45.95037,drink,4
-0.12894338,33.250637,drink,4
11.423105,55.147438,drink,4
43.28919,40.403515,drink,2
